,_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_PRXECE,ED_PRXHQECE,ED_ECENROL,ED_READING,ED_MATH,ED_HSGRAD,ED_APENR,ED_COLLEGE,ED_SCHPOV,ED_TEACHXP,ED_ATTAIN,HE_FOOD,HE_GREEN,HE_WALK,HE_VACANCY,HE_SUPRFND,HE_RSEI,HE_PM25,HE_OZONE,HE_HEAT,HE_HLTHINS,SE_EMPRAT,SE_JOBPROX,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_SINGLE,ctfips,latitude,longitude
1765,130387,48439105203,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,574,4.1651974,0.49363086,62.5,184.5056,189.53787,55.80396700000001,0.516679540159407,33.9080758675872,74.130089,12.02562,18.76208878,5.1707100541047994,46.6,14.166999340057368,11.56950665,-13.815510999999999,6.0060500999999995,9.93485068493151,39.60592109589041,110.33333999999999,77.76169586,78.21522521999998,2.24913478,14.03508759,17.4180336,50.0,28.87788773,45500.0,33.46153641,48439105203,32.72072,-97.46812
1766,130388,48439105204,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,612,3.9070160000000005,0.0,23.3,197.44038,205.81601,67.899826,0.3685104598774139,33.0826411149553,73.482262,0.0,16.10810852,3.6667737999999996,52.9,13.49686121940613,22.55176353,-13.815510999999999,6.5318761,9.427519509589033,40.496194120547926,126.66666000000001,68.87513733,88.11594391,4.01215792,22.44827652,19.58762932,9.27834988,14.55509663,33382.0,58.8235321,48439105204,32.73138,-97.47762
1767,130389,48439105204,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,607,3.9947011,0.0,0.0,180.63925,184.21965,52.778713,0.5102812836693932,33.5397653178447,75.83284,13.693838000000001,15.57512474,2.2693037581833,52.9,13.49686121940613,18.28270912,-13.815510999999999,5.9533153,9.91589123287672,39.62159863013698,110.33333999999999,75.36502838,71.63814545,10.71895409,29.28498077,30.4503212,5.86132956,19.05059433,30843.0,54.28571701,48439105204,32.73138,-97.47762
1768,130390,48439105205,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1283,4.003736,0.0,64.4,198.20305,207.47472,68.665398,0.3733410425811852,33.182128383716304,72.72364,0.0,10.01400566,7.147425800000001,59.1,13.60103762149811,22.99446678,-13.815510999999999,6.5714625999999985,9.459865482191784,40.43345718356164,126.66666000000001,62.37602234,69.6493988,2.24215245,33.78894424,36.90909195,10.13636398,14.29906464,27937.0,74.67810822,48439105205,32.7311,-97.47051
1769,130391,48439105205,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1673,4.0885315,0.22957444,30.4,181.87976,185.8826,51.843765000000005,0.514598731744684,33.6007605548715,75.234734,13.357857999999998,10.76570702,17.410530233856,59.1,13.60103762149811,11.21391582,-13.815510999999999,5.988381400000001,9.93381013698631,39.61902931506846,110.33333999999999,70.29136658,74.42655182,5.45661211,29.59729195,35.93163681,6.46102571,11.9074707,30313.0,59.4257164,48439105205,32.7311,-97.47051
1770,130392,48439105403,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1185,4.8223886,1.9107863999999999,100.0,217.791,236.52184,90.37674,0.8037072400969429,42.2648674577091,22.224321,1.82654,61.97802353,1.1804552,37.2,12.44224417209625,10.18518543,-13.815510999999999,7.047113400000001,9.714089849315073,40.09735454520548,126.66666000000001,90.5472641,72.02024840999998,3.68399501,15.36226559,4.67599392,47.68041229,59.84556198,63620.0,40.51490402,48439105403,32.71278,-97.37687
1771,130393,48439105403,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1415,4.8806667,1.7489234,69.1,239.59627000000003,259.39264,94.188568,0.927699813708048,44.2528530145438,23.0347,7.157070599999999,79.38948822,0.7884256437028,37.2,12.44224417209625,8.67455196,-13.815510999999999,6.420043499999999,10.09559479452055,39.32303315068493,110.33333999999999,95.23293304,79.34290314,10.93698978,8.83315086,2.65692449,54.1348381,65.92414093,75964.0,29.7183094,48439105403,32.71278,-97.37687
1772,130394,48439105404,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1027,4.8093309,1.6400702,47.8,212.08569,232.08844,90.352753,0.7910976776525982,38.08141498792521,46.943207,5.012042500000001,68.77336884,2.0452528,27.2,14.014403581619261,6.15570307,-13.815510999999999,6.8291421,9.662863589041107,40.1003401808219,126.66666000000001,95.15722656,79.61917877000002,5.53549957,9.9949646,2.57234716,80.57878113,64.38278198,108269.0,18.12627411,48439105404,32.68618,-97.38375
1773,130395,48439105404,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,957,4.8948846,1.4202142,83.3,226.69339,257.89273,94.590164,0.9393013608184572,39.534170021176,49.295712,9.9462147,78.31950378000002,0.4418322023423,27.2,14.014403581619261,0.82449943,-13.815510999999999,6.398333099999999,10.08641534246575,39.30004739726032,110.33333999999999,95.79207611,80.70998383,11.15933037,5.80034828,0.0,86.74626923,69.48873138,123719.0,4.9713192,48439105404,32.68618,-97.38375
1774,130396,48439105405,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,597,4.683578,1.1987473999999998,,212.76746,230.73372,81.001305,0.6327466485611185,37.9252424487909,22.624418,3.9488485,46.82682037,9.154151,32.5,15.042283713817598,14.16739368,-13.815510999999999,6.857049000000001,9.644112931506855,40.11303122739726,126.66666000000001,79.54312897,77.70845032,4.48891306,12.7109108,6.14525175,25.95225906,49.23402023,45977.0,58.52417374,48439105405,32.700509999999994,-97.40155
